C1,Large,2
C2,Small,1
C3,Small,1
C4,Small,2
C5,Large,2
C6,Small,1
C7,Large,1
C8,Extra Small,2
C9,Extra Small,3
C10,Medium,3
C11,Extra Small,3
C12,Large,3
C13,Small,3
C14,Large,3
C15,Large,3
C16,Medium,2
C17,Large,1
C18,Extra Small,1
C19,Small,1
C20,Large,1
C21,Large,2
C22,Large,1
C23,Medium,1
C24,Medium,2
C25,Extra Small,3
C26,Large,3
C27,Large,3
C28,Large,3
C29,Extra Small,2
C30,Medium,1
C31,Extra Small,2
C32,Medium,1
C33,Medium,3
C34,Small,2
C35,Medium,1
C36,Small,2
C37,Small,3
C38,Small,3
C39,Medium,2
C40,Extra Small,1
C41,Medium,2
C42,Small,2
C43,Extra Small,2
C44,Large,2
C45,Medium,2
C46,Large,1
C47,Large,1
C48,Extra Small,1
C49,Small,3
C50,Extra Small,3
C51,Small,3
C52,Extra Small,3
C53,Medium,1
C54,Small,1
C55,Large,2
C56,Extra Small,1
C57,Medium,3
C58,Medium,2
C59,Large,3
C60,Large,2
C61,Extra Small,1
C62,Large,3
C63,Large,3
C64,Small,3
C65,Extra Small,3
C66,Small,1
C67,Small,2
C68,Extra Small,2
C69,Extra Small,2
C70,Extra Small,2
C71,Small,1
C72,Medium,1
C73,Small,3
C74,Large,3
C75,Medium,1
C76,Large,3
C77,Large,3
C78,Large,3
C79,Medium,1
C80,Small,2
C81,Small,2
C82,Small,3
C83,Medium,1
C84,Extra Small,2
C85,Large,1
C86,Medium,1
C87,Extra Small,2
C88,Medium,2
C89,Extra Small,3
C90,Medium,2
C91,Extra Small,3
C92,Small,3
C93,Small,3
C94,Medium,2
C95,Large,3
C96,Medium,3
C97,Small,3
C98,Small,1
C99,Extra Small,2
C100,Medium,1
